"Name","Source","Page","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment","Treasure"
"Adult Silver Dragon","MM'25","279","Huge","Dragon (Metallic)","lawful good","19","216 (16d12 + 112)","40 ft., Fly 80 ft.","27","10","25","16","13","22","Dex +5, Wis +6","History +8, Perception +11, Stealth +5","","","cold","","Blindsight 60 ft., Darkvision 120 ft., passive Perception 21","Common, Draconic","16 (XP 15,000, or 18,000 in lair; PB +5)","Legendary Resistance (3/Day, or 4/Day in Lair). If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack. The dragon makes three Rend attacks. It can replace one attack with a use of (A) Paralyzing Breath or (B) Spellcasting to cast Ice Knife.
Rend. Melee Attack Roll: +13, reach 10 ft. Hit: 17 (2d8 + 8) Slashing damage plus 4 (1d8) Cold damage.
Cold Breath (Recharge 5–6). Constitution Saving Throw: DC 20, each creature in a 60-foot Cone. Failure: 54 (12d8) Cold damage. Success: Half damage.
Paralyzing Breath. Constitution Saving Throw: DC 20, each creature in a 60-foot Cone. First Failure: The target has the Incapacitated condition until the end of its next turn, when it repeats the save. Second Failure: The target has the Paralyzed condition, and it repeats the save at the end of each of its turns, ending the effect on itself on a success. After 1 minute, it succeeds automatically.
Spellcasting. The dragon casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 19, +11 to hit with spell attacks):At will: Detect Magic, Hold Monster, Ice Knife, Shapechange (Beast or Humanoid form only, no Temporary Hit Points gained from the spell, and no Concentration or Temporary Hit Points required to maintain the spell)1/day each: Ice Storm (level 5 version), Zone of Truth","","","Chill. The dragon uses Spellcasting to cast Hold Monster. The dragon can't take this action again until the start of its next turn.
Cold Gale. Dexterity Saving Throw: DC 19, each creature in a 60-foot-long, 10-foot-wide Line. Failure: 14 (4d6) Cold damage, and the target is pushed up to 30 feet straight away from the dragon. Success: Half damage only. Failure or Success: The dragon can't take this action again until the start of its next turn.
Pounce. The dragon moves up to half its Speed, and it makes one Rend attack.","","","The region containing an adult or ancient silver dragon's lair is changed by its magic, creating the following effects:Gentle Gusts. Winds buoy creatures that fall within 1 mile of the lair. Such creatures descend at a rate of 60 feet per round and take no damage from falling.Sun and Storms. While in its lair, the dragon can cast Control Weather, requiring no Material components and using the same spellcasting ability as its Spellcasting action.If the dragon dies or moves its lair elsewhere, these effects end immediately.","Mountain, Urban","Arcana"
"Adult Topaz Dragon","FTD","221","Huge","Dragon (Gem)","chaotic neutral","18 (natural armor)","210 (20d12 + 80)","40 ft., Fly 80 ft., Swim 40 ft.","19","12","19","18","17","18","Dex +6, Con +9, Wis +8, Cha +9","Intimidation +14, Perception +13, Stealth +6","","cold, necrotic","","","Blindsight 60 ft., Darkvision 120 ft., passive Perception 23","Common, Draconic, telepathy 120 ft.","13 (XP 10,000, or 11,500 in lair; PB +5)","Amphibious. The dragon can breathe both air and water.
Fabricate (1/Day). The dragon can cast fabricate, requiring no spell components and using Intelligence as the spellcasting ability.
Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack. The dragon makes one Bite attack and two Claw attacks.
Bite. Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 15 (2d10 + 4) piercing damage plus 3 (1d6) necrotic damage.
Claw. Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) slashing damage.
Desiccating Breath (Recharge 5–6). The dragon exhales yellowish necrotic energy in a 60-foot cone. Each creature in that area must make a DC 17 Constitution saving throw. On a failed save, the creature takes 35 (10d6) necrotic damage and is weakened until the end of its next turn. A weakened creature has disadvantage on Strength-based ability checks and Strength saving throws, and the creature's weapon attacks that rely on Strength deal half damage. On a successful save, the creature takes half as much damage and isn't weakened.
Spellcasting (Psionics). The dragon casts one of the following spells, requiring no spell components and using Intelligence as the spellcasting ability (spell save DC 17):1/day each: bane, control water, create or destroy water","Change Shape. The dragon magically transforms into any creature that is Medium or Small, while retaining its game statistics (other than its size). This transformation ends if the dragon is reduced to 0 hit points or uses a bonus action to end it.
Psychic Step. The dragon magically teleports to an unoccupied space it can see within 60 feet of it.","","Claw. The dragon makes one Claw attack.
Psionics (Costs 2 Actions). The dragon uses Psychic Step or Spellcasting.
Essential Reduction (Costs 3 Actions). The dragon targets a creature or an object not being worn or carried that it can see within 60 feet of it. The target must succeed on a DC 17 Constitution saving throw or take 28 (8d6) necrotic damage. If this damage reduces the target to 0 hit points, it crumbles to dust.","","On initiative count 20 (losing initiative ties), the dragon can take one of the following lair actions; the dragon can't take the same lair action two rounds in a row:Beguiling Whisper. The dragon telepathically whispers to one creature within range of the dragon's telepathy. The creature must succeed on a DC 15 Wisdom saving throw or be charmed by the dragon until initiative count 20 on the next round. A creature charmed in this way obeys to the best of its ability any command the dragon issues that isn't directly harmful to the creature.Cancellation. The dragon chooses an active spell of 5th level or lower that it's aware of in the lair and ends the spell.Negative Energy Infusion. Up to two creatures the dragon can see within the lair must each succeed on a DC 15 Constitution saving throw or take 14 (4d6) necrotic damage. Negative energy then infuses the lair until initiative count 20 on the next round. While the infusion lasts, creatures in the lair other than the dragon can't regain hit points.","The region surrounding a legendary topaz dragon's lair is altered by the dragon's magic, creating one or more of the following effects:Crystal Profusion. Natural stone within 6 miles of the lair grows plentiful crystal formations and veins of topaz gemstones, particularly underground.Negative Energy. When a creature finishes a long rest within 6 miles of the lair, the creature must first succeed on a DC 15 Constitution saving throw or be unable to reduce its levels of exhaustion or regain spent Hit Dice. Creatures resistant or immune to necrotic damage are immune to this regional effect.Thriving Wildlife. Giant squid are attracted to the sea within 6 miles of the lair, migrating and hunting there in large numbers.Watery Sight. Water within 6 miles of the lair is a conduit for the dragon's psionic presence. As an action, the dragon can cast the clairvoyance spell, requiring no spell components and targeting any body of water in that region.If the dragon dies, the population of giant squid in the region returns to normal levels over the course of 1d10 days. The existing abundance of crystals and topazes remains, but new ones form at a normal rate.","",""
"Adult White Dragon","MM'25","329","Huge","Dragon (Chromatic)","chaotic evil","18","200 (16d12 + 96)","40 ft., Burrow 30 ft., Fly 80 ft., Swim 40 ft.","22","10","22","8","12","12","Dex +5, Wis +6","Perception +11, Stealth +5","","","cold","","Blindsight 60 ft., Darkvision 120 ft., passive Perception 21","Common, Draconic","13 (XP 10,000, or 11,500 in lair; PB +5)","Ice Walk. The dragon can move across and climb icy surfaces without needing to make an ability check. Additionally, Difficult Terrain composed of ice or snow doesn't cost it extra movement.
Legendary Resistance (3/Day, or 4/Day in Lair). If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack. The dragon makes three Rend attacks.
Rend. Melee Attack Roll: +11, reach 10 ft. Hit: 13 (2d6 + 6) Slashing damage plus 4 (1d8) Cold damage.
Cold Breath (Recharge 5–6). Constitution Saving Throw: DC 19, each creature in a 60-foot Cone. Failure: 54 (12d8) Cold damage. Success: Half damage.","","","Freezing Burst. Constitution Saving Throw: DC 14, each creature in a 30-foot-radius Sphere centered on a point the dragon can see within 120 feet. Failure: 7 (2d6) Cold damage, and the target's Speed is 0 until the end of the target's next turn. Failure or Success: The dragon can't take this action again until the start of its next turn.
Frightful Presence. The dragon casts Fear, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 14). The dragon can't take this action again until the start of its next turn.
Pounce. The dragon moves up to half its Speed, and it makes one Rend attack.","","","The region containing an adult or ancient white dragon's lair is affected by its presence, creating the following effects:Frigid Cold. The area within 1 mile of the lair is an area of extreme cold. Any water in that area is frigid water. See the Dungeon Master's Guide for rules on extreme cold and frigid water.Glacial Gloom. The area within 1 mile of the lair is Lightly Obscured by chilly fog. Whenever a creature other than the dragon or one of its allies finishes a Long Rest in that area, that creature must succeed on a DC 15 Constitution saving throw or have its Speed reduced by 10 feet for 1 hour.If the dragon dies or moves its lair elsewhere, these effects end immediately.","Arctic","Arcana"
"Advanced Detention Drone","BMT","135","Large","Construct","unaligned","17 (natural armor)","142 (15d10 + 60)","30 ft., Fly 30 ft. (hover)","18","8","18","7","10","3","","","","","poison","charmed, exhaustion, frightened, paralyzed, poisoned","Blindsight 10 ft., Darkvision 60 ft., passive Perception 10","Understands commands given in any language but can't speak","7 (XP 2,900; PB +3)","Regeneration. The drone regains 10 hit points at the start of its turn if it has at least 1 hit point.
Spell Storing. A spellcaster who wears the drone's amulet can cause the drone to store one spell of 4th level or lower. To do so, the wearer must cast the spell on the drone. The spell has no effect but is stored within the drone. When commanded to do so by the wearer or when a situation arises that was predefined by the spellcaster, the drone casts the stored spell with any parameters set by the original caster, requiring no components. When the spell is cast or a new spell is stored, any previously stored spell is lost.","Multiattack. The drone makes two fist attacks.
Fist. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage.
Detention Orb. The drone launches a tiny orb of magical force at a creature it can see within 30 feet of itself. The creature must succeed on a DC 15 Constitution saving throw or be encased in the orb, which expands to a size just large enough to contain the creature. While encased, the creature doesn't need to breathe, eat, or drink, and it doesn't age. Nothing can pass through the orb, nor can any creature teleport or use planar travel to enter or exit the orb. As a bonus action, the drone can move the orb and its contents up to 30 feet in any direction. A successful casting of the Dispel Magic spell on the orb (DC 15) destroys it. The orb otherwise remains intact until the drone spends an action to end the effect or the drone is destroyed. A drone can have only one detention orb active at a time; if the drone creates a detention orb when it already has one active, the first orb disappears, freeing the creature inside.","","Shield. When a creature makes an attack against the wearer of the drone's amulet, the drone grants a +2 bonus to the wearer's AC if the drone is within 5 feet of the wearer.","","","","","",""
"Aerosaur","BGG","128","Gargantuan","Monstrosity (Dinosaur)","unaligned","14 (natural armor)","155 (10d20 + 50)","20 ft., Fly 120 ft.","26","10","21","3","10","5","","Perception +4","","","","","passive Perception 14","—","10 (XP 5,900; PB +4)","Magic Resistance. The aerosaur has advantage on saving throws against spells and other magical effects.","Multiattack. The aerosaur makes one Bite attack and one Talons attack.
Bite. Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 27 (3d12 + 8) piercing damage. If the target is a Huge or smaller creature, it has the grappled condition (escape DC 18). Until this grapple ends, the target has the restrained condition, and the aerosaur can't Bite another target.
Talons. Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 24 (3d10 + 8) slashing damage.
Wing Gusts (Recharge 5–6). The aerosaur beats its wings, creating bursts of thunderous force. Each creature within 10 feet of the aerosaur must make a DC 20 Strength saving throw. On a failed save, a creature takes 38 (7d10) thunder damage, is pushed up to 30 feet horizontally from the aerosaur, and has the prone condition. On a successful save, a creature takes half as much damage and is pushed up to 15 feet horizontally from the aerosaur.","","","","","","","",""
"Affliction Devil (Kocrachon)","CoA","236","Medium","Fiend (Devil)","lawful evil","20 (natural armor)","104 (16d8 + 32)","30 ft., Fly 60 ft. (hover)","16","19","15","17","12","14","Dex +8, Int +7","Deception +6, Intimidation +6, Perception +5, Stealth +8","","bludgeoning, piercing, and slashing from nonmagical attacks that aren't silvered","cold, fire, poison","poisoned","Darkvision 120 ft., passive Perception 15","Infernal, telepathy 120 ft.","10 (XP 5,900; PB +4)","Devil's Sight. Magical darkness doesn't impede the kocrachon's darkvision.
Infernal Rot. A creature afflicted with this disease has the poisoned condition until the disease ends. While diseased, creatures gain no benefits from a long rest, gaining exhaustion when necessary. If a creature dies while afflicted with Infernal Rot, its corpse transforms into a newborn kocrachon after 4 (1d8) days.
Magic Resistance. The kocrachon has advantage on saving throws against spells and other magical effects.
Sadism. The kocrachon gains a +1 bonus to attack and damage rolls for each different creature it damaged on its previous turn.","Multiattack. The kocrachon makes three Claw attacks. It can replace one of the attacks with a Proboscis attack.
Claw. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage.
Proboscis. Melee Weapon Attack: +8 to hit, reach 10 ft., one target. Hit: 10 (1d12 + 4) piercing damage plus 14 (4d6) poison damage. Creatures damaged by this attack must succeed on a DC 16 Constitution saving throw or suffer the Infernal Rot disease.","","","","","","","",""
"Air Elemental","MM'25","13","Large","Elemental","neutral","15","90 (12d10 + 24)","10 ft., Fly 90 ft. (hover)","14","20","14","6","10","6","","","","bludgeoning, lightning, piercing, slashing","poison, thunder","exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained, unconscious","Darkvision 60 ft., passive Perception 10","Primordial (Auran)","5 (XP 1,800; PB +3)","Air Form. The elemental can enter a creature's space and stop there. It can move through a space as narrow as 1 inch without expending extra movement to do so.","Multiattack. The elemental makes two Thunderous Slam attacks.
Thunderous Slam. Melee Attack Roll: +8, reach 10 ft. Hit: 14 (2d8 + 5) Thunder damage.
Whirlwind (Recharge 4–6). Strength Saving Throw: DC 13, one Medium or smaller creature in the elemental's space. Failure: 24 (4d10 + 2) Thunder damage, and the target is pushed up to 20 feet straight away from the elemental and has the Prone condition. Success: Half damage only.","","","","","","","Desert, Mountain, Planar (Elemental Plane of Air)",""
"Air Elemental Myrmidon","MPMM","122","Medium","Elemental","neutral","18 (plate)","117 (18d8 + 36)","30 ft., Fly 30 ft. (hover)","18","14","14","9","10","10","","","","lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks","poison","paralyzed, petrified, poisoned, prone","Darkvision 60 ft., passive Perception 10","Auran, one language of its creator's choice","7 (XP 2,900; PB +3)","","Multiattack. The myrmidon makes three Flail attacks.
Flail. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) force damage.
Lightning Strike (Recharge 6). The myrmidon makes one Flail attack. On a hit, the target takes an extra 18 (4d8) lightning damage, and the target must succeed on a DC 13 Constitution saving throw or be stunned until the end of the myrmidon's next turn.","","","","","","","",""
"Alhoon","MPMM","43","Medium","Undead (Mind Flayer, Wizard)","neutral evil","15 (natural armor)","150 (20d8 + 60)","30 ft., Fly 15 ft. (hover)","11","12","16","19","17","17","Con +7, Int +8, Wis +7, Cha +7","Arcana +8, Deception +7, History +8, Insight +7, Perception +7, Stealth +5","","cold, lightning, necrotic","poison","charmed, exhaustion, frightened, paralyzed, poisoned","Truesight 120 ft., passive Perception 17","Deep Speech, Undercommon, telepathy 120 ft.","10 (XP 5,900; PB +4)","Magic Resistance. The alhoon has advantage on saving throws against spells and other magical effects.
Turn Resistance. The alhoon has advantage on saving throws against any effect that turns Undead.","Multiattack. The alhoon makes two Chilling Grasp or Arcane Bolt attacks.
Chilling Grasp. Melee Spell Attack: +8 to hit, reach 5 ft., one target. Hit: 14 (4d6) cold damage, and the alhoon regains 14 hit points.
Arcane Bolt. Ranged Spell Attack: +8 to hit, range 120 ft., one target. Hit: 28 (8d6) force damage.
Mind Blast (Recharge 5–6). The alhoon magically emits psychic energy in a 60-foot cone. Each creature in that area must succeed on a DC 16 Intelligence saving throw or take 22 (4d8 + 4) psychic damage and be stunned for 1 minute. A target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.
Spellcasting. The alhoon casts one of the following spells, requiring no material components and using Intelligence as the spellcasting ability (spell save DC 16):At will: dancing lights, detect magic, detect thoughts, disguise self, mage hand, prestidigitation1/day each: dominate monster, globe of invulnerability, invisibility, modify memory, plane shift (self only), wall of force","","Negate Spell (3/Day). The alhoon targets one creature it can see within 60 feet of it that is casting a spell. If the spell is 3rd level or lower, the spell fails, but any spell slots or charges are not wasted.","","","","","Underdark",""
"Alkilith","MPMM","44","Medium","Fiend (Demon)","chaotic evil","17 (natural armor)","168 (16d8 + 96)","40 ft., Climb 40 ft.","12","19","22","6","11","7","Dex +8, Con +10","Stealth +8","","acid, cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks","poison","charmed, frightened, poisoned","Darkvision 120 ft., passive Perception 10","Understands Abyssal but can't speak","11 (XP 7,200; PB +4)","Abyssal Rift. If the alkilith surrounds a door, window, or similar opening continuously for 6d6 days, the opening becomes a permanent portal to a random layer of the Abyss.
Amorphous. The alkilith can move through a space as narrow as 1 inch wide without squeezing.
False Appearance. If the alkilith is motionless at the start of combat, it has advantage on its initiative roll. Moreover, if a creature hasn't observed the alkilith move or act, that creature must succeed on a DC 18 Intelligence (Investigation) check to discern that the alkilith isn't ordinary slime or fungus.
Foment Confusion. Any creature that isn't a demon that starts its turn within 30 feet of the alkilith must succeed on a DC 18 Wisdom saving throw, or it hears a faint buzzing in its head for a moment and has disadvantage on its next attack roll, saving throw, or ability check.If the saving throw against Foment Confusion fails by 5 or more, the creature is instead subjected to the confusion spell for 1 minute (no concentration required by the alkilith). While under the effect of that confusion, the creature is immune to Foment Confusion.
Magic Resistance. The alkilith has advantage on saving throws against spells and other magical effects.
Spider Climb. The alkilith can climb difficult surfaces, such as upside down on ceilings, without making an ability check.
Unusual Nature. The alkilith doesn't require air, food, drink, or sleep.","Multiattack. The alkilith makes three Tentacle attacks.
Tentacle. Melee Weapon Attack: +8 to hit, reach 15 ft., one target. Hit: 18 (4d6 + 4) acid damage.","","","","","","","Underdark, Urban",""
"Allip","MPMM","45","Medium","Undead","neutral evil","13","40 (9d8)","0 ft., Fly 40 ft. (hover)","6","17","10","17","15","16","Int +6, Wis +5","Perception +5, Stealth +6","","acid, fire, lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks","cold, necrotic, poison","charmed, exhaustion, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained","Darkvision 60 ft., passive Perception 15","The languages it knew in life","5 (XP 1,800; PB +3)","Incorporeal Movement. The allip can move through other creatures and objects as if they were difficult terrain. It takes 5 (1d10) force damage if it ends its turn inside an object.
Unusual Nature. The allip doesn't require air, food, drink, or sleep.","Maddening Touch. Melee Spell Attack: +6 to hit, reach 5 ft., one target. Hit: 17 (4d6 + 3) psychic damage.
Howling Babble (Recharge 6). Each creature within 30 feet of the allip that can hear it must make a DC 14 Wisdom saving throw. On a failed save, a target takes 12 (2d8 + 3) psychic damage, and it is stunned until the end of its next turn. On a successful save, it takes half as much damage and isn't stunned. Constructs and Undead are immune to this effect.
Whispers of Compulsion. The allip chooses up to three creatures it can see within 60 feet of it. Each target must succeed on a DC 14 Wisdom saving throw, or it takes 12 (2d8 + 3) psychic damage and must use its reaction to make a melee weapon attack against one creature of the allip's choice that the allip can see. Constructs and Undead are immune to this effect.","","","","","","","Swamp, Urban",""
"Allosaurus","MM'25","348","Large","Beast (Dinosaur)","unaligned","13","51 (6d10 + 18)","60 ft.","19","13","17","2","12","5","","Perception +5","","","","","passive Perception 15","—","2 (XP 450; PB +2)","","Bite. Melee Attack Roll: +6, reach 5 ft. Hit: 15 (2d10 + 4) Piercing damage.
Claws. Melee Attack Roll: +6, reach 5 ft. Hit: 8 (1d8 + 4) Slashing damage. If the target is a Large or smaller creature and the allosaurus moved 30+ feet straight toward it immediately before the hit, the target has the Prone condition, and the allosaurus can make one Bite attack against it.","","","","","","","Grassland",""
"Altisaur","BGG","129","Gargantuan","Monstrosity (Dinosaur)","unaligned","15 (natural armor)","198 (12d20 + 72)","40 ft.","28","6","23","3","12","7","","Perception +11","","","","","passive Perception 21","—","13 (XP 10,000; PB +5)","Magic Resistance. The altisaur has advantage on saving throws against spells and other magical effects.","Multiattack. The altisaur makes one Stomp attack and one Tail attack. The altisaur can't make both attacks against the same target.
Stomp. Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 33 (7d6 + 9) bludgeoning damage. If the target is a Huge or smaller creature, it must succeed on a DC 22 Strength saving throw or have the prone condition.
Tail. Melee Weapon Attack: +14 to hit, reach 20 ft., one target. Hit: 45 (8d8 + 9) bludgeoning damage, and the target is pushed up to 20 feet horizontally from the altisaur.","","","","","","","",""
"Ambitious Assassin","BMT","45","Small or Medium","Humanoid","neutral evil","16 (studded leather)","91 (14d8 + 28)","40 ft., Climb 40 ft.","10","18","15","18","14","16","Dex +7, Int +7","Deception +9, Perception +5, Stealth +10","","","","charmed, frightened","Blindsight 10 ft., passive Perception 15","Common, thieves' cant, plus any one language","5 (XP 1,800, or 2,300 in lair; PB +3)","Legendary Resistance (2/Day). If the assassin fails a saving throw, it can choose to succeed instead.","Multiattack. The assassin makes two Poison Blade attacks.
Poison Blade. Melee or Ranged Weapon Attack: +7 to hit, reach 5 ft. or range 60 ft., one target. Hit: 6 (1d4 + 4) piercing damage plus 5 (1d10) poison damage.","","Uncanny Dodge. When an attacker the assassin can see hits the assassin with an attack, the assassin halves the attack's damage against it.","Cunning. The assassin escapes nonmagical restraints and ends the grappled condition on itself, then moves up to its speed without provoking opportunity attacks.
Stab (Costs 2 Actions). The assassin makes one Poison Blade attack.
Vanishing Escape (Costs 3 Actions). The assassin creates a sudden distraction, such as a cloud of disorienting smoke or flash of dazzling light, filling a 10-foot cube within 5 feet of the assassin. Each creature of the assassin's choice in that area takes 9 (2d8) psychic damage, and the assassin has the invisible condition. This invisibility lasts until the end of the assassin's next turn.","","On initiative count 20 (losing initiative ties) while in its lair, the villain can take one of the following lair actions; the villain can't take the same lair action two rounds in a row:Distraction. A shrill sound fills the lair. Creatures that can hear it must succeed on a DC 15 Constitution saving throw or lose concentration.Snares. Hidden snares target up to three creatures the villain can see in the lair. Each creature must succeed on a DC 15 Strength saving throw or have the grappled condition (escape DC 15) and the restrained condition until it escapes or the snare holding it is destroyed. Each snare has AC 11, 10 hit points, and immunity to poison and psychic damage.Traps. Traps target up to two creatures the villain can see in the lair. Each target must succeed on a DC 15 Dexterity saving throw or be struck by a trap. The villain rolls a number of d6s equal to its proficiency bonus, and struck targets take damage equal to the total. The damage is bludgeoning, piercing, slashing, fire, or poison, chosen by the villain when the villain uses this action.","The region containing a villain's lair is warped by their presence, creating one or more of the following effects:Corruption Abounds. While within 3 miles of the lair, creatures that aren't members of the villain's organization have disadvantage on ability checks that rely on the Insight, Perception, and Persuasion skills.Potent Toxins. When members of the villain's organization deal poison damage while within 3 miles of the lair, they ignore the target's resistance to poison damage.If the villain dies, these effects fade over the course of 1d10 days.","",""
"Amethyst Dragon Wyrmling","FTD","162","Medium","Dragon (Gem)","neutral","17 (natural armor)","75 (10d8 + 30)","30 ft., Fly 60 ft. (hover), Swim 30 ft.","19","10","17","16","13","17","Dex +2, Con +5, Wis +3, Cha +5","Arcana +7, Perception +5, Persuasion +5, Stealth +2","","force, psychic","","frightened, prone","Blindsight 10 ft., Darkvision 120 ft., passive Perception 15","Draconic, telepathy 120 ft.","4 (XP 1,100; PB +2)","Amphibious. The dragon can breathe both air and water.","Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 9 (1d10 + 4) piercing damage plus 4 (1d8) force damage.
Singularity Breath (Recharge 5–6). The dragon creates a shining bead of gravitational force in its mouth, then releases the energy in a 15-foot cone. Each creature in that area must make a DC 13 Strength saving throw. On a failed save, the creature takes 22 (5d8) force damage, and its speed becomes 0 until the start of the dragon's next turn. On a successful save, the creature takes half as much damage, and its speed isn't reduced.
Spellcasting (Psionics). The dragon casts one of the following spells, requiring no spell components and using Intelligence as the spellcasting ability (spell save DC 13):1/day each: protection from evil and good, Tenser's floating disk, unseen servant","","","","","","","",""
"Amethyst Greatwyrm","FTD","201","Gargantuan","Dragon (Gem)","neutral","21 (natural armor)","507 (26d20 + 234)","60 ft., Burrow 60 ft., Fly 120 ft. (hover), Swim 60 ft.","28","14","29","30","24","25","Dex +10, Con +17, Wis +15, Cha +15","Arcana +26, History +18, Perception +15","","","force","charmed, frightened, poisoned, prone","Truesight 120 ft., passive Perception 25","Common, Draconic","26 (XP 90,000; PB +8)","Gem Awakening (Recharges after a Short or Long Rest). If the greatwyrm would be reduced to 0 hit points, its current hit point total instead resets to 400 hit points, it recharges its Breath Weapon, and it regains any expended uses of Legendary Resistance. Additionally, the greatwyrm can now use its Mass Telekinesis action during the next hour. Award a party an additional 90,000 XP (180,000 XP total) for defeating the greatwyrm after its Gem Awakening activates.
Legendary Resistance (4/Day). If the greatwyrm fails a saving throw, it can choose to succeed instead.
Unusual Nature. The greatwyrm doesn't require food or drink.","Multiattack. The greatwyrm makes one Bite attack and two Claw attacks.
Bite. Melee Weapon Attack: +17 to hit, reach 15 ft., one target. Hit: 20 (2d10 + 9) piercing damage plus 16 (3d10) force damage.
Claw. Melee Weapon Attack: +17 to hit, reach 10 ft., one target. Hit: 18 (2d8 + 9) slashing damage. If the target is a Huge or smaller creature, it is grappled (escape DC 19) and is restrained until this grapple ends. The greatwyrm can have only one creature grappled in this way at a time.
Breath Weapon (Recharge 5–6). The greatwyrm exhales crushing force in a 300-foot cone. Each creature in that area must make a DC 25 Dexterity saving throw. On a failed save, the creature takes 71 (11d12) force damage and is knocked prone. On a successful save, it takes half as much damage and isn't knocked prone. On a success or failure, the creature's speed becomes 0 until the end of its next turn.
Mass Telekinesis (Gem Awakening Only; Recharges after a Short or Long Rest). The greatwyrm targets any number of creatures and objects it can see within 120 feet of it. No one target can weigh more than 4,000 pounds, and objects can't be targeted if they're being worn or carried. Each targeted creature must succeed on a DC 26 Strength saving throw or be restrained in the greatwyrm's telekinetic grip. At the end of a creature's turn, it can repeat the saving throw, ending the effect on itself on a success.At the end of the greatwyrm's turn, it can move each creature or object it has in its telekinetic grip up to 60 feet in any direction, but not beyond 120 feet of itself. In addition, it can choose any number of creatures restrained in this way and deal 45 (7d12) force damage to each of them.
Spellcasting (Psionics). The greatwyrm casts one of the following spells, requiring no spell components and using Intelligence as the spellcasting ability (spell save DC 26, +18 to hit with spell attack):1/day each: dispel magic, forcecage, plane shift, reverse gravity, time stop","Change Shape. The greatwyrm magically transforms into any creature that is Medium or Small, while retaining its game statistics (other than its size). This transformation ends if the greatwyrm is reduced to 0 hit points or uses a bonus action to end it.
Psychic Step. The greatwyrm magically teleports to an unoccupied space it can see within 60 feet of it.","","Claw. The greatwyrm makes one Claw attack.
Psionics (Costs 2 Actions). The greatwyrm uses Psychic Step or Spellcasting.
Psychic Beam (Costs 3 Actions). The greatwyrm emits a beam of psychic energy in a 90-foot line that is 10 feet wide. Each creature in that area must make a DC 26 Intelligence saving throw, taking 27 (5d10) psychic damage on a failed save, or half as much damage on a successful one.","","","","",""
