,Unnamed: 0,Name,Size,Type,Alignment,Habitat,Main Habitat,Other Habitat,Treasure,AC,HP,Initiative,Walk,Burrow,Climb,Fly,Hover,Swim,STR Mod,INT Mod,DEX Mod,WIS Mod,CON Mod,CHA Mod,STR Save,INT Save,DEX Save,WIS Save,CON Save,CHA Save,Proficient,Expertise,Vulnerabilities,Slashing,Immunities Conditions,Immunities Damage,Blindsight,Darkvision,Truesight,Tremorsense,Passive Perception,Languages,CR,XP.,PB,Traits,# of Legendary Resistance,# of Atk,Atk 1 Type,Atk 1 Mod,Atk 1 Range,Atk 1 Range Short,Atk 1 Dam.,Atk 1 Damage Type,Atk 2 Type,Atk 2 Mod,Atk 2 Range,Atk 2 Range short,Atk 2 Dam.,Atk 2 Damage Type,Atk 3 Type,Atk 3 Mod,Atk 3 Range,Atk 3 Range short,Atk 3 Dam.,Atk 3 Damage Type,Atk 4 Type,Atk 4 Mod,Atk 4 Range,Atk 4 Range short,Atk 4 Dam.,Atk 4 Damage Type,Save DC,Saving Throw,Action Notes,Ability,Spell Save DC,Spell Saving Throws,Spell Attack,At Will,3.0/Day,2.0/Day,1.0/Day,Bonus Action,Reaction,Amount,Legendary Action Save DC,Legendary Action Saving Throw,Legendary Actions.,Lair,xp,Legendary Resistance,Legendary Actions,Lair Save DC,Lair Saving Throws,Other
10,10,Adult Gold Dragon,Huge,Dragon (Metallic),Lawful Good,"Forest, Grassland","Forest, Grassland",,Arcana,19.0,243.0,14.0,40.0,,,80.0,,40.0,8.0,3.0,2.0,2.0,7.0,7.0,8.0,3.0,8.0,8.0,7.0,7.0,"Insight, Persuasion, Stealth",Perception,,,,Fire,60,120.0,,,24.0,"Common, Draconic",17.00000/1,18000.0,6.0,Amphibious,3.0,3.0,Melee,14.0,10.0,=,21.0,"Slashing, Fire",Ranged,13.0,120.0,120,18.0,Radiant,,,,=,,,,,,=,,,21.0,"Dexterity, Strength","Akt 2 is casting guiding bolt (level 2), Fire Breath recharge on 5-6 60ft coone 66 fire damage, Waking Breath 60ft coone disadvantage on strength-based rolls and -3 on damage rolls",Charisma,21.0,"Charisma, Dexterity",13.0,"Detect Magic, Guiding Bolt (level 2), shapechange",,,"Flame Strike, Zone of Truth",,,3.0,21.0,Charisma,"One target in 120ft 10 force damage and is incapacitated, Cast Guiding Bolt (level 2), Pounce",Yes,20000.0,4.0,4.0,,,Can cast Dream up to 6 miles
11,11,Adult Green Dragon,Huge,Dragon (Chromatic),Lawful Evil,Forest,Forest,,Arcana,19.0,207.0,11.0,40.0,,,80.0,,40.0,6.0,4.0,1.0,2.0,5.0,4.0,6.0,4.0,6.0,7.0,5.0,4.0,"Deception, Persuasion, Stealth",Perception,,,Poisoned,Poison,60,120.0,,,22.0,"Common, Draconic",15.00000/1,13000.0,5.0,Amphibious,3.0,3.0,Melee,11.0,10.0,=,22.0,"Slashing, Poison",Ranged,,120.0,120,14.0,Psychic,,,,=,,,,,,=,,,18.0,Constitution,"Akt 2 is casting Mind Spike (level 3), Poison Breath recharge 5-6 60ft coone 56 poison damage",Charisma,17.0,Wisdom,9.0,"Detect Magic, Mind Spike (level 3)",,,Geas,,,3.0,17.0,Constitution,"Cast Mind Spike (level 3), 20ft Sphere 7 poison damage and -2 to AC, Pounce",Yes,15000.0,4.0,4.0,15.0,Constitution,On fail Poisoned
12,12,Adult Red Dragon,Huge,Dragon (Chromatic),Chaotic Evil,"Hill, Mountain","Hill, Mountain",,Any,19.0,256.0,12.0,40.0,,40.0,80.0,,,8.0,3.0,0.0,1.0,7.0,6.0,8.0,3.0,6.0,7.0,7.0,6.0,Stealth,Perception,,,,Fire,60,120.0,,,23.0,"Common, Draconic",17.00000/1,18000.0,6.0,,3.0,3.0,Melee,14.0,10.0,=,18.0,"Slashing, Fire",Ranged,12.0,120.0,120,21.0,Fire,,,,=,,,,,,=,,,21.0,Dexterity,"Akt 2 is casting Scorching Ray, Fire Breath recharge on 5-6 60ft coone 59 fire damage",Charisma,20.0,"Dexterity, Wisdom",12.0,"Command (level 2), Detect Magic, Scorching Ray",,,Fireball,,,3.0,20.0,Wisdom,"Cast Command (level 2), Cast Scorching Ray, Pounce",Yes,20000.0,4.0,4.0,15.0,Constitution,On fail Poisoned
13,13,Adult Silver Dragon,Huge,Dragon (Metallic),Lawful Good,"Mountain, Urban","Mountain, Urban",,Arcana,19.0,216.0,10.0,40.0,,,80.0,,,8.0,3.0,0.0,1.0,7.0,6.0,8.0,3.0,5.0,6.0,7.0,6.0,"History, Stealth",Perception,,,,Cold,60,120.0,,,21.0,"Common, Draconic",16.00000/1,15000.0,5.0,,3.0,3.0,Melee,13.0,10.0,=,21.0,"Slashing, Cold",Ranged,11.0,60.0,60,12.0,"Piercing, Cold",,,,=,,,,,,=,,,20.0,Constitution,"Akt 2 is casting ice knife and failing the saving through, Cold Breath 60ft coone 54 cold damage, Paralyzing breath 60ft coone on fail incapacitated second fail paralyzed",Charisma,19.0,"Charisma, Dexterity, Wisdom",11.0,"Detect Magic, Hold Monster, Ice Knife, Shapechange",,,"Ice Storm (level 5), Zone of Truth",,,3.0,18.0,Dexterity,"Cast Hold Monster, 60ft long 10ft wide 14 cold damage and target is pushed 30ft, Pounce",Yes,18000.0,4.0,4.0,,,Cast Control Weather
14,14,Adult White Dragon,Huge,Dragon (Chromatic),Chaotic Evil,Arctic,Arctic,,Arcana,18.0,200.0,10.0,40.0,30.0,,80.0,,40.0,6.0,-1.0,0.0,1.0,6.0,1.0,6.0,-1.0,5.0,6.0,6.0,1.0,Stealth,Perception,,,,Cold,60,120.0,,,21.0,"Common, Draconic",13.00000/1,10000.0,5.0,Ice Walk,3.0,3.0,Melee,11.0,10.0,=,17.0,"Slashing, Cold",,,,=,,,,,,=,,,,,,=,,,19.0,"Constitution, Wisdom",Cold Breath 60ft coone 54 cold damage,,,,,,,,,,,3.0,14.0,Constitution,"30ft sphere 7 cold damage and speed reduced to 0, Cast Fear, Pounce",Yes,11500.0,4.0,4.0,15.0,Constitution,On fail speed reduced by 10ft
15,15,Air Elemental,Large,Elemental,Neutral,"Desert, Mountain, Planar (Elemental Plane of Air)","Desert, Mountain, Planar",Elemental Plane of Air,,15.0,90.0,5.0,10.0,,,90.0,90.0,,2.0,-2.0,5.0,0.0,2.0,-2.0,2.0,-2.0,5.0,0.0,2.0,-2.0,,,,"Bludgeoning, Lightning, Piercing, Slashing","Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious","Poison, Thunder",,60.0,,,10.0,Primordial (Auran),5.00000/1,1800.0,3.0,Air Form,,2.0,Melee,8.0,10.0,=,14.0,Thunder,,,,=,,,,,,=,,,,,,=,,,13.0,Strength,Whirlwind recharges on 5-6 one target on fail 24 thunder damage pushed 20ft and prone,,,,,,,,,,,,,,,,,,,,,
16,16,Allosaurus,Large,Beast (Dinosaur),Unaligned,Grassland,Grassland,,,13.0,51.0,1.0,60.0,,,,,,4.0,-4.0,1.0,1.0,3.0,-3.0,4.0,-4.0,1.0,1.0,3.0,-3.0,,Perception,,,,,,,,,15.0,,2.00000/1,450.0,2.0,,,1.0,Melee,6.0,5.0,=,15.0,Piercing,,6.0,,=,8.0,Slashing,,,,=,,,,,,=,,,,,Claw attack give prone condition,,,,,,,,,,,,,,,,,,,,,
17,17,Ancient Black Dragon,Gargantuan,Dragon (Chromatic),Chaotic Evil,Swamp,Swamp,,Relics,22.0,367.0,16.0,40.0,,,80.0,,40.0,8.0,3.0,2.0,2.0,7.0,6.0,8.0,3.0,7.0,7.0,7.0,6.0,Stealth,Perception,,,,Acid,60,120.0,,,26.0,"Common, Draconic",21.00000/1,33000.0,7.0,Amphibious,4.0,3.0,Melee,15.0,15.0,=,26.0,"Slashing, Acid",Ranged,13.0,90.0,90,41.0,Acid,,,,=,,,,,,=,,,22.0,Dexterity,"Acid Breath recharges on 5-6 Dex save 90ft 10ft wide line 67 Acid, Akt 2 is a casting of Melf's Acid Arrow",Charisma,21.0,"Dexterity, Wisdom",13.0,"Detect Magic, Fear, Melf's Acid Arrow (4th level)",,,"Create Undead, Speak with Dead, Vitriolic Sphere (5th Level)",,,3.0,21.0,"Dexterity, Wisdom","33 poison and disadv on con. saves,  Frightful Presence, Pounce",Yes,41000.0,5.0,4.0,15.0,Constitution,On fail Poisoned
18,18,Ancient Blue Dragon,Gargantuan,Dragon (Chromatic),Lawful Evil,"Coastal, Desert","Coastal, Desert",,Relics,22.0,481.0,14.0,40.0,40.0,,80.0,,,9.0,4.0,0.0,3.0,8.0,7.0,9.0,4.0,7.0,10.0,8.0,7.0,Stealth,Perception,,,,Lightning,60,120.0,,,27.0,"Common, Draconic",23.00000/1,50000.0,7.0,,4.0,3.0,Melee,16.0,5.0,=,29.0,"Slashing, Lighting",Range AOE,,60.0,=,18.0,Thunder,,,,=,,,,,,=,,,23.0,Dexterity,Lightning Breath recharges on 5-6 120ft 10ft wide line 88 lightning,Charisma,22.0,"Constitution, Wisdom",14.0,"Detect Magic, Invincibility, Mage Hand, Shatter (Level 3)",,,"Scrying, Sending",,,3.0,22.0,Constitution,"Cast invisibility and fly 1/2, Cast shatter (level 3), Makes an attack",Yes,62000.0,5.0,4.0,15.0,Dexterity,On fail fall into a 2d4 * 10 hole
19,19,Ancient Brass Dragon,Gargantuan,Dragon (Metallic),Chaotic Good,Desert,Desert,,Arcana,20.0,332.0,12.0,40.0,40.0,,80.0,,,8.0,3.0,0.0,2.0,7.0,6.0,8.0,3.0,6.0,8.0,7.0,6.0,"History, Persuasion, Stealth",Perception,,,,Fire,60,120.0,,,24.0,"Common, Draconic",20.00000/1,25000.0,6.0,,4.0,3.0,Melee,14.0,15.0,=,26.0,"Slashing, Fire",Ranged,12.0,120.0,120,28.0,Fire,,,,=,,,,,,=,,,21.0,"Dexterity, Constitution","Akt 2 is casting scorching ray (3rd level), Fire Breath recharges on 5-6 90ft 5ft wide line 58 fire damage, Sleep Breath 90ft coone cause incapacitated and possibly unconscious",Charisma,20.0,Wisdom,12.0,"Detect Magic, Minor Illusion, Scorching Ray (level 3), Shapechange, Speak with Animals",,,"Detect Thoughts, Control Weather",,,3.0,20.0,Dexterity,"Cast scorching Ray (level 3), Pounce, 38 fire damage and 1/2 speed of target's",Yes,33000.0,5.0,4.0,,,Can cast Major Image
20,20,Ancient Bronze Dragon,Gargantuan,Dragon (Metallic),Lawful Good,Coastal,Coastal,, Implements,22.0,444.0,14.0,40.0,,,80.0,,40.0,9.0,4.0,0.0,3.0,8.0,7.0,9.0,4.0,7.0,10.0,8.0,7.0,"Insight, Stealth",Perception,,,,Lightning,60,120.0,,,27.0,"Common, Draconic",22.00000/1,41000.0,7.0,Amphibious,4.0,3.0,Melee,16.0,15.0,=,27.0,"Slashing, Lighting",Ranged,10.0,120.0,120,18.0,Radiant,,,,=,,,,,,=,,,23.0,"Dexterity, Strength","Akt 2 is casting Guiding Bolt (level 2), Lightning Breath recharges on 5-6 120ft 10ft wide line 82 lightning, Repulsion Breath 30ft coone targets are pushed 60ft and are prone",Charisma,22.0,Wisdom,14.0,"Detect Magic, Guiding Bolt (level 2), Shapechange, Speak with Animals, Thaumaturgy",,,"Detect Thoughts, Control Water, Scrying, Water Breathing",,,3.0,22.0,Constitution,"Cast Guiding Bolt, Pounce, 13 thunder damage and makes deafened",Yes,50000.0,5.0,4.0,,,Can cast Control Weather
21,21,Ancient Copper Dragon,Gargantuan,Dragon (Metallic),Chaotic Good,Hill,Hill,,Arcana,21.0,367.0,15.0,40.0,,40.0,80.0,,,8.0,5.0,1.0,3.0,7.0,6.0,8.0,5.0,8.0,10.0,7.0,6.0,"Deception, Stealth",Perception,,,,Acid,60,120.0,,,27.0,"Common, Draconic",21.00000/1,33000.0,7.0,,4.0,3.0,Melee,15.0,15.0,=,28.0,"Slashing, Acid",Ranged,,120.0,120,27.0,Psychic,,,,=,,,,,,=,,,22.0,"Dexterity, Constitution","Akt 2 is casting mind spike (level 5), Acid Breath recharges on 5-6 60ft 5ft wide line 54 acid damage, Slowing Breath 60ft coone target's speed is halved and can't take reactions, and either an action or bonus action",Charisma,21.0,Wisdom,13.0,"Detect Magic, Mind Spike (level 5), Minor Illusion, Shapechange",,,"Greater Restoration, Major Image, Project Image",,,3.0,21.0,Charisma,"31 psychic damage and -1d8 on ability checks and attack rolls, Cast Mind Spike (level 5), Pounce",Yes,41000.0,5.0,4.0,15.0,Wisdom,On fail incapacitated
22,22,Ancient Gold Dragon,Gargantuan,Dragon (Metallic),Lawful Good,"Forest, Grassland","Forest, Grassland",,Arcana,22.0,546.0,16.0,40.0,,,80.0,,40.0,10.0,4.0,2.0,3.0,9.0,9.0,10.0,4.0,9.0,10.0,9.0,9.0,"Insight, Persuasion, Stealth",Perception,,,,Fire,60,120.0,,,27.0,"Common, Draconic",24.00000/1,62000.0,7.0,Amphibious,4.0,3.0,Melee,17.0,15.0,=,28.0,"Slashing, Fire",Ranged,16.0,120.0,120,25.0,Radiant,,,,=,,,,,,=,,,24.0,"Dexterity, Strength","Akt 2 is casting guiding bolt (level 4), Fire Breath recharge on 5-6 90ft coone 71 fire damage, Waking Breath 90ft coone disadvantage on strength-based rolls and -5 on damage rolls",Charisma,24.0,"Charisma, Dexterity",16.0,"Detect Magic, Guiding Bolt (level 4), shapechange",,,"Flame Strike (Level 6), Word of Recall, Zone of Truth",,,3.0,24.0,Charisma,"One target in 120ft 24 force damage and is incapacitated, Cast Guiding Bolt (level 4), Pounce",Yes,75000.0,5.0,4.0,,,Can cast Dream up to 6 miles
23,23,Ancient Green Dragon,Gargantuan,Dragon (Chromatic),Lawful Evil,Forest,Forest,,Arcana,21.0,402.0,15.0,40.0,,,80.0,,40.0,8.0,5.0,1.0,3.0,7.0,6.0,8.0,5.0,8.0,10.0,7.0,6.0,"Deception, Persuasion, Stealth",Perception,,,Poisoned,Poison,60,120.0,,,27.0,"Common, Draconic",22.00000/1,41000.0,7.0,Amphibious,4.0,3.0,Melee,15.0,15.0,=,27.0,"Slashing, Poison",Ranged,,120.0,120,21.0,Psychic,,,,=,,,,,,=,,,22.0,Constitution,"Akt 2 is casting Mind Spike (level 5), poison Breath recharge 5-6 90ft coone 77 poison damage",Charisma,21.0,Wisdom,13.0,"Detect Magic, Mind Spike (level 5)",,,"Geas, Modify Memory",,,4.0,21.0,Constitution,"Cast Mind Spike (level 5), 30ft Sphere 17 poison damage and -2 to AC, Pounce",Yes,50000.0,5.0,4.0,15.0,Constitution,On fail Poisoned
24,24,Ancient Red Dragon,Gargantuan,Dragon (Chromatic),Chaotic Evil,"Hill, Mountain","Hill, Mountain",,Any,22.0,507.0,14.0,40.0,,40.0,80.0,,,10.0,4.0,0.0,2.0,9.0,8.0,10.0,4.0,7.0,9.0,9.0,8.0,Stealth,Perception,,,,Fire,60,120.0,,,26.0,"Common, Draconic",24.00000/1,62000.0,7.0,,4.0,3.0,Melee,17.0,15.0,=,29.0,"Slashing, Fire",Ranged,15.0,120.0,120,28.0,Fire,,,,=,,,,,,=,,,24.0,Dexterity,"Akt 2 is casting Scorching Ray (Level 3), Fire Breath recharge on 5-6 90ft coone 91 fire damage",Charisma,23.0,"Dexterity, Wisdom",15.0,"Command (level 2), Detect Magic, Scorching Ray (level 3)",,,"Fireball (level 6), Scrying",,,3.0,23.0,Wisdom,"Cast Command (level 2), Cast Scorching Ray (level 3), Pounce",Yes,75000.0,5.0,4.0,15.0,Constitution,On fail Poisoned
25,25,Ancient Silver Dragon,Gargantuan,Dragon (Metallic),Lawful Good,"Mountain, Urban","Mountain, Urban",,Arcana,22.0,468.0,14.0,40.0,,,80.0,,,10.0,4.0,0.0,2.0,9.0,8.0,10.0,4.0,7.0,9.0,9.0,8.0,"History, Stealth",Perception,,,,Cold,60,120.0,,,26.0,"Common, Draconic",23.00000/1,50000.0,7.0,,4.0,3.0,Melee,17.0,15.0,=,28.0,"Slashing, Cold",Ranged,15.0,60.0,60,16.0,"Piercing, Cold",,,,=,,,,,,=,,,24.0,Constitution,"Akt 2 is casting ice knife (level 2) and failing the saving through, Cold Breath 60ft coone 54 cold damage, Paralyzing breath 60ft coone on fail incapacitated second fail paralyzed",Charisma,23.0,"Charisma, Dexterity, Wisdom",15.0,"Detect Magic, Hold Monster, Ice Knife (level 2), Shapechange",,,"Ice Storm (level 7), Teleport, Zone of Truth",,,3.0,23.0,Dexterity,"Cast Hold Monster, 60ft long 10ft wide 14 cold damage and target is pushed 30ft, Pounce",Yes,62000.0,5.0,4.0,,,Cast Control Weather
26,26,Ancient White Dragon,Gargantuan,Dragon (Chromatic),Chaotic Evil,Arctic,Arctic,,Arcana,20.0,333.0,12.0,40.0,40.0,,80.0,,40.0,8.0,0.0,0.0,1.0,8.0,4.0,8.0,0.0,6.0,7.0,8.0,4.0,Stealth,Perception,,,,Cold,60,120.0,,,23.0,"Common, Draconic",20.00000/1,25000.0,6.0,Ice Walk,4.0,3.0,Melee,14.0,15.0,=,24.0,"Slashing, Cold",,,,=,,,,,,=,,,,,,=,,,22.0,"Constitution, Wisdom",Cold Breath 90ft coone 63 cold damage,,,,,,,,,,,3.0,20.0,Constitution,"30ft sphere 14 cold damage and speed reduced to 0, Cast Fear, Pounce",Yes,33000.0,5.0,4.0,15.0,Constitution,On fail speed reduced by 10ft
